Date : 2025-05-06 17:06:15
Directory : e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src
Total : 174 files,  146803 codes, 5457 comments, 14495 blanks, all 166755 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| main\webapp\resources\client                                                                                                                                                                                          |         17 |     13,048 |      1,109 |      3,166 |     17,323 |
| main\webapp\resources\client\css                                                                                                                                                                                      |          2 |     10,435 |         61 |      2,619 |     13,115 |
| main\webapp\resources\client\js                                                                                                                                                                                       |          1 |        333 |         52 |         49 |        434 |
| main\webapp\resources\client\lib                                                                                                                                                                                      |         14 |      2,280 |        996 |        498 |      3,774 |
| main\webapp\resources\client\lib\easing                                                                                                                                                                               |          2 |        154 |          9 |          8 |        171 |
| main\webapp\resources\client\lib\lightbox                                                                                                                                                                             |          2 |          2 |         14 |          0 |         16 |
| main\webapp\resources\client\lib\lightbox\css                                                                                                                                                                         |          1 |          1 |          0 |          0 |          1 |
| main\webapp\resources\client\lib\lightbox\js                                                                                                                                                                          |          1 |          1 |         14 |          0 |         15 |
| main\webapp\resources\client\lib\owlcarousel                                                                                                                                                                          |          8 |      2,118 |        967 |        489 |      3,574 |
| main\webapp\resources\client\lib\owlcarousel (Files)                                                                                                                                                                  |          2 |      1,903 |        913 |        467 |      3,283 |
| main\webapp\resources\client\lib\owlcarousel\assets                                                                                                                                                                   |          6 |        215 |         54 |         22 |        291 |
| main\webapp\resources\client\lib\waypoints                                                                                                                                                                            |          2 |          6 |          6 |          1 |         13 |
| main\webapp\resources\css                                                                                                                                                                                             |          2 |     10,427 |         39 |        781 |     11,247 |
| main\webapp\resources\js                                                                                                                                                                                              |          6 |        129 |         22 |         11 |        162 |
| main\webapp\resources\test                                                                                                                                                                                            |         81 |    117,357 |      4,062 |      9,870 |    131,289 |
| main\webapp\resources\test\assets                                                                                                                                                                                     |          3 |        285 |         48 |         53 |        386 |
| main\webapp\resources\test\assets\css                                                                                                                                                                                 |          2 |        285 |         48 |         52 |        385 |
| main\webapp\resources\test\assets\js                                                                                                                                                                                  |          1 |          0 |          0 |          1 |          1 |
| main\webapp\resources\test\vendor                                                                                                                                                                                     |         78 |    117,072 |      4,014 |      9,817 |    130,903 |
| main\webapp\resources\test\vendor\bootstrap                                                                                                                                                                           |         22 |     53,115 |      1,949 |      4,505 |     59,569 |
| main\webapp\resources\test\vendor\bootstrap-5.3.3-dist                                                                                                                                                                |         22 |     53,115 |      1,949 |      4,505 |     59,569 |
| main\webapp\resources\test\vendor\bootstrap-5.3.3-dist\css                                                                                                                                                            |         16 |     40,876 |        114 |      3,300 |     44,290 |
| main\webapp\resources\test\vendor\bootstrap-5.3.3-dist\js                                                                                                                                                             |          6 |     12,239 |      1,835 |      1,205 |     15,279 |
| main\webapp\resources\test\vendor\bootstrap\css                                                                                                                                                                       |         16 |     40,876 |        114 |      3,300 |     44,290 |
| main\webapp\resources\test\vendor\bootstrap\js                                                                                                                                                                        |          6 |     12,239 |      1,835 |      1,205 |     15,279 |
| main\webapp\resources\test\vendor\font-awesome                                                                                                                                                                        |         32 |     10,840 |        111 |        804 |     11,755 |
| main\webapp\resources\test\vendor\font-awesome\css                                                                                                                                                                    |          2 |      2,328 |         13 |          2 |      2,343 |
| main\webapp\resources\test\vendor\font-awesome\fonts                                                                                                                                                                  |          1 |      2,671 |          0 |          1 |      2,672 |
| main\webapp\resources\test\vendor\font-awesome\less                                                                                                                                                                   |         14 |      1,758 |         44 |         48 |      1,850 |
| main\webapp\resources\test\vendor\font-awesome\scss                                                                                                                                                                   |         15 |      4,083 |         54 |        753 |      4,890 |
| main\webapp\resources\test\vendor\jquery                                                                                                                                                                              |          1 |          1 |          1 |          1 |          3 |
| main\webapp\resources\test\vendor\popperjs                                                                                                                                                                            |          1 |          1 |          4 |          2 |          7 |
| test                                                                                                                                                                                                                  |          1 |          9 |          0 |          5 |         14 |
| test\java                                                                                                                                                                                                             |          1 |          9 |          0 |          5 |         14 |
| test\java\vn                                                                                                                                                                                                          |          1 |          9 |          0 |          5 |         14 |
| test\java\vn\hoidanit                                                                                                                                                                                                 |          1 |          9 |          0 |          5 |         14 |
| test\java\vn\hoidanit\laptopshop                                                                                                                                                                                      |          1 |          9 |          0 |          5 |         14 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                                                                                                                              | language        | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\java\vn\hoidanit\laptopshop\LaptopshopApplication.java                                | Java            |          9 |          0 |          7 |         16 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\java\vn\hoidanit\laptopshop\config\CustomSuccessHandler.java                          | Java            |         62 |          2 |         16 |         80 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\java\vn\hoidanit\laptopshop\config\SecurityConfiguration.java                         | Java            |         75 |          2 |         20 |         97 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\java\vn\hoidanit\laptopshop\config\WebMvcConfig.java                                  | Java            |         34 |          0 |          7 |         41 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\java\vn\hoidanit\laptopshop\controller\admin\DashboardController.java                 | Java            |         10 |          0 |          3 |         13 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\java\vn\hoidanit\laptopshop\controller\admin\OrderController.java                     | Java            |         10 |          0 |          3 |         13 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\java\vn\hoidanit\laptopshop\controller\admin\ProductController.java                   | Java            |        114 |          5 |         19 |        138 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\java\vn\hoidanit\laptopshop\controller\admin\UserController.java                      | Java            |        108 |          5 |         19 |        132 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\java\vn\hoidanit\laptopshop\controller\client\HomePageController.java                 | Java            |         24 |          0 |         10 |         34 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\java\vn\hoidanit\laptopshop\controller\client\ItemController.java                     | Java            |        112 |          5 |         22 |        139 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\java\vn\hoidanit\laptopshop\controller\client\RegisterController.java                 | Java            |         44 |          1 |         11 |         56 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\java\vn\hoidanit\laptopshop\domain\Cart.java                                          | Java            |         51 |          2 |         17 |         70 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\java\vn\hoidanit\laptopshop\domain\CartDetail.java                                    | Java            |         55 |          2 |         20 |         77 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\java\vn\hoidanit\laptopshop\domain\Order.java                                         | Java            |         75 |          2 |         26 |        103 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\java\vn\hoidanit\laptopshop\domain\OrderDetail.java                                   | Java            |         58 |          2 |         15 |         75 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\java\vn\hoidanit\laptopshop\domain\Product.java                                       | Java            |        102 |          0 |         26 |        128 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\java\vn\hoidanit\laptopshop\domain\Role.java                                          | Java            |         47 |          1 |         16 |         64 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\java\vn\hoidanit\laptopshop\domain\User.java                                          | Java            |        105 |          5 |         31 |        141 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\java\vn\hoidanit\laptopshop\domain\dto\RegisterDTO.java                               | Java            |         45 |          0 |         14 |         59 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\java\vn\hoidanit\laptopshop\repository\CartDetailRepository.java                      | Java            |         13 |          0 |          8 |         21 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\java\vn\hoidanit\laptopshop\repository\CartRepository.java                            | Java            |         10 |          0 |          4 |         14 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\java\vn\hoidanit\laptopshop\repository\OrderDetailRepository.java                     | Java            |          7 |          1 |          5 |         13 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\java\vn\hoidanit\laptopshop\repository\OrderRepository.java                           | Java            |          7 |          0 |          5 |         12 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\java\vn\hoidanit\laptopshop\repository\ProductRepository.java                         | Java            |         11 |          0 |          7 |         18 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\java\vn\hoidanit\laptopshop\repository\RoleRepository.java                            | Java            |          8 |          0 |          5 |         13 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\java\vn\hoidanit\laptopshop\repository\UserRepository.java                            | Java            |         14 |          0 |         11 |         25 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\java\vn\hoidanit\laptopshop\service\CustomUserDetailsService.java                     | Java            |         26 |          0 |         10 |         36 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\java\vn\hoidanit\laptopshop\service\ProductService.java                               | Java            |        139 |         14 |         31 |        184 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\java\vn\hoidanit\laptopshop\service\UploadService.java                                | Java            |         40 |          3 |         11 |         54 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\java\vn\hoidanit\laptopshop\service\UserService.java                                  | Java            |         52 |          1 |         17 |         70 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\java\vn\hoidanit\laptopshop\service\validator\RegisterChecked.java                    | Java            |         17 |          0 |          7 |         24 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\java\vn\hoidanit\laptopshop\service\validator\RegisterValidator.java                  | Java            |         32 |          2 |         10 |         44 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\java\vn\hoidanit\laptopshop\service\validator\StrongPassword.java                     | Java            |         17 |          0 |          6 |         23 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\java\vn\hoidanit\laptopshop\service\validator\StrongPasswordValidator.java            | Java            |          9 |          2 |          3 |         14 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\java\vn\hoidanit\laptopshop\test\controller\TestApi.java                              | Java            |         18 |          0 |          5 |         23 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\java\vn\hoidanit\laptopshop\test\controller\TestHomePage.java                         | Java            |         14 |          0 |          5 |         19 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\resources\application.properties                                                      | Java Properties |         12 |          9 |         12 |         33 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\WEB-INF\view\admin\dashboard\show.jsp                                          | HTML            |        628 |          0 |          2 |        630 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\WEB-INF\view\admin\layout\footer.jsp                                           | HTML            |         16 |          0 |          2 |         18 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\WEB-INF\view\admin\layout\header.jsp                                           | HTML            |         51 |         10 |          3 |         64 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\WEB-INF\view\admin\layout\sidebar.jsp                                          | HTML            |         39 |          0 |          4 |         43 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\WEB-INF\view\admin\order\show.jsp                                              | HTML            |         47 |          0 |          2 |         49 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\WEB-INF\view\admin\product\create.jsp                                          | HTML            |        189 |          2 |         10 |        201 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\WEB-INF\view\admin\product\delete.jsp                                          | HTML            |         59 |          2 |          6 |         67 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\WEB-INF\view\admin\product\detail.jsp                                          | HTML            |         61 |          2 |          6 |         69 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\WEB-INF\view\admin\product\show.jsp                                            | HTML            |         79 |          0 |          2 |         81 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\WEB-INF\view\admin\product\update.jsp                                          | HTML            |        195 |          2 |         10 |        207 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\WEB-INF\view\admin\user\create.jsp                                             | HTML            |        165 |          2 |         11 |        178 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\WEB-INF\view\admin\user\delete.jsp                                             | HTML            |         61 |          2 |          6 |         69 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\WEB-INF\view\admin\user\detail.jsp                                             | HTML            |         58 |          2 |          6 |         66 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\WEB-INF\view\admin\user\show.jsp                                               | HTML            |         77 |          2 |          7 |         86 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\WEB-INF\view\admin\user\update.jsp                                             | HTML            |        147 |          2 |          7 |        156 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\WEB-INF\view\client\auth\denied.jsp                                            | HTML            |         39 |          0 |          1 |         40 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\WEB-INF\view\client\auth\login.jsp                                             | HTML            |        115 |          0 |          2 |        117 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\WEB-INF\view\client\auth\register.jsp                                          | HTML            |        150 |          0 |          1 |        151 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\WEB-INF\view\client\cart\checkout.jsp                                          | HTML            |        176 |         12 |         27 |        215 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\WEB-INF\view\client\cart\show.jsp                                              | HTML            |        313 |         19 |         14 |        346 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\WEB-INF\view\client\cart\thanks.jsp                                            | HTML            |         84 |         15 |         14 |        113 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\WEB-INF\view\client\homepage\show.jsp                                          | HTML            |        559 |         12 |         13 |        584 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\WEB-INF\view\client\layout\banner.jsp                                          | HTML            |         75 |          2 |          1 |         78 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\WEB-INF\view\client\layout\feature.jsp                                         | HTML            |         58 |          2 |          1 |         61 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\WEB-INF\view\client\layout\footer.jsp                                          | HTML            |        124 |          7 |          2 |        133 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\WEB-INF\view\client\layout\header.jsp                                          | HTML            |        101 |         27 |          4 |        132 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\WEB-INF\view\client\product\detail.jsp                                         | HTML            |        266 |         19 |         16 |        301 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\WEB-INF\view\hello.jsp                                                         | HTML            |         26 |          2 |          5 |         33 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\WEB-INF\view\test\client\product_detail.jsp                                    | HTML            |        278 |         14 |         12 |        304 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\WEB-INF\view\test\show.jsp                                                     | HTML            |         11 |          0 |          1 |         12 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\client\css\bootstrap.min.css                                         | CSS             |     10,048 |         34 |      2,518 |     12,600 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\client\css\style.css                                                 | CSS             |        387 |         27 |        101 |        515 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\client\js\main.js                                                    | JavaScript      |        333 |         52 |         49 |        434 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\client\lib\easing\easing.js                                          | JavaScript      |        153 |          9 |          7 |        169 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\client\lib\easing\easing.min.js                                      | JavaScript      |          1 |          0 |          1 |          2 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\client\lib\lightbox\css\lightbox.min.css                             | CSS             |          1 |          0 |          0 |          1 |
| e:\file_tai_lieu\Course\do_an_tot_nghiep\java spring mvc fullstack hoi dan it\01-java-spring-laptopshop-starter-master\src\main\webapp\resources\client\lib\lightbox\js\lightbox.min.js                               | JavaScript      |          1 |         14 |          0 |         15 |
